                                 Open        High         Low       Close  \
Datetime                                                                    
2024-10-17 02:46:00+01:00  172.526993  172.552994  172.513000  172.537994   
2024-10-17 02:47:00+01:00  172.539001  172.544998  172.526001  172.531998   
2024-10-17 02:48:00+01:00  172.533005  172.539993  172.509995  172.529999   
2024-10-17 02:49:00+01:00  172.533997  172.554993  172.522995  172.550995   
2024-10-17 02:50:00+01:00  172.552994  172.576996  172.542999  172.563995   
2024-10-17 02:51:00+01:00  172.565002  172.574005  172.537003  172.546005   
2024-10-17 02:52:00+01:00  172.544998  172.548996  172.529007  172.541000   
2024-10-17 02:53:00+01:00  172.542007  172.554993  172.535995  172.548004   
2024-10-17 02:54:00+01:00  172.548004  172.557007  172.539993  172.554001   
2024-10-17 02:55:00+01:00  172.554001  172.585007  172.544998  172.580994   
2024-10-17 02:56:00+01:00  172.582993  172.632004  172.580002  172.608994   
2024-10-17 02:57:00+01:00  172.608994  172.615005  172.582001  172.589996   
2024-10-17 02:58:00+01:00  172.585999  172.595993  172.565994  172.576996   
2024-10-17 02:59:00+01:00  172.570999  172.578995  172.563995  172.572006   
2024-10-17 03:00:00+01:00  172.576996  172.580994  172.544998  172.557999   
2024-10-17 03:01:00+01:00  172.557999  172.567993  172.520996  172.537994   
2024-10-17 03:02:00+01:00  172.535995  172.554993  172.531998  172.552994   
2024-10-17 03:03:00+01:00  172.550995  172.608994  172.548996  172.598007   
2024-10-17 03:04:00+01:00  172.602005  172.604004  172.576996  172.585999   
2024-10-17 03:05:00+01:00  172.585007  172.587006  172.557999  172.559998   
2024-10-17 03:06:00+01:00  172.561005  172.578995  172.556000  172.572998   
2024-10-17 03:07:00+01:00  172.567993  172.593994  172.559006  172.570007   
2024-10-17 03:08:00+01:00  172.572998  172.574005  172.548996  172.570007   
2024-10-17 03:09:00+01:00  172.572006  172.574997  172.559998  172.563995   
2024-10-17 03:10:00+01:00  172.559998  172.572998  172.554001  172.563995   
2024-10-17 03:11:00+01:00  172.565994  172.576004  172.561996  172.576004   
2024-10-17 03:12:00+01:00  172.561005  172.584000  172.557999  172.574997   
2024-10-17 03:13:00+01:00  172.569000  172.593994  172.565002  172.574005   
2024-10-17 03:14:00+01:00  172.572998  172.585007  172.563995  172.567993   
2024-10-17 03:15:00+01:00  172.572006  172.595001  172.563004  172.589996   
2024-10-17 03:16:00+01:00  172.595993  172.612000  172.578995  172.598007   
2024-10-17 03:17:00+01:00  172.602997  172.613998  172.587006  172.598007   
2024-10-17 03:18:00+01:00  172.600006  172.615997  172.585007  172.597000   
2024-10-17 03:19:00+01:00  172.593994  172.602997  172.585007  172.600998   
2024-10-17 03:20:00+01:00  172.595001  172.602997  172.578003  172.587006   
2024-10-17 03:21:00+01:00  172.589996  172.610001  172.585007  172.595993   
2024-10-17 03:22:00+01:00  172.598999  172.606003  172.572998  172.572998   
2024-10-17 03:23:00+01:00  172.570007  172.576996  172.552994  172.572006   
2024-10-17 03:24:00+01:00  172.572006  172.578995  172.557007  172.565994   
2024-10-17 03:25:00+01:00  172.563995  172.569000  172.526001  172.528000   
2024-10-17 03:26:00+01:00  172.531006  172.535995  172.513000  172.520004   
2024-10-17 03:27:00+01:00  172.522003  172.531998  172.498993  172.509003   
2024-10-17 03:28:00+01:00  172.513000  172.539993  172.498993  172.533997   
2024-10-17 03:29:00+01:00  172.526993  172.548996  172.526993  172.542999   
2024-10-17 03:30:00+01:00  172.542999  172.546997  172.509003  172.514008   
2024-10-17 03:31:00+01:00  172.516006  172.531998  172.509995  172.522003   
